item_code,item_name_clean,item_desc_original,uom,unit_size_ml,pack_qty,pack_type,units_per_box,item_group_clean,item_group_original,alt_item_groups,duplicate_rows_in_source,division
MVMPCCP02D500021,HARD STAIN SPRAY+ WIPE AND TOUGH LIME SCALE SPRAY + SCRUB ( COMPO PACK 2 X 500ML ),HARD STAIN SPRAY+ WIPE AND TOUGH LIME SCALE SPRAY + SCRUB ( COMPO PACK 2 X 500ML ),BOX,500.0,2,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500009,"HARD STAINS , FLOOR & SURFACE CLEANER, TOILET BOWL CLEANER PACK OF 3 (500ML EACH)","Hard Stains , Floor & Surface Cleaner, Toilet Bowl Cleaner Pack of 3 (500ml Each)",BOX,500.0,3,COMBO_DIFFERENT_ITEMS,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500004,HARD STAINS SPRAY + WIPE | ADVANCED P3 FORMULA- PACK OF 3 - DEFAULT TITLE,HARD STAINS SPRAY + WIPE | ADVANCED P3 FORMULA- PACK OF 3 - DEFAULT TITLE,BOX,,3,MULTIPACK_SAME_ITEM,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500010,HARD STAINS SPRAY+WIPE & DISINFECTANT CLEANER PACK OF 2,HARD STAINS SPRAY+WIPE & DISINFECTANT CLEANER  Pack of 2,BOX,,2,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500014,HARD STAINS SPRAY+WIPE & FLOOR + SURFACE CLEANER - DEFAULT TITLE PACK OF 2,HARD STAINS SPRAY+WIPE & FLOOR + SURFACE CLEANER - Default Title Pack of 2,BOX,,2,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500012,HARD STAINS SPRAY+WIPE & GLASS+SMOOTH SURFACE CLEANER PACK OF 2,HARD STAINS SPRAY+WIPE & GLASS+smooth SURFACE CLEANER Pack of 2,BOX,,2,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500013,HARD STAINS SPRAY+WIPE & TOILET BOWL CLEANER PACK OF 2,HARD STAINS SPRAY+WIPE & TOILET BOWL CLEANER Pack of 2,BOX,,2,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP06D500001,"HARD STAINS SPRAY, LIME SCALE REMOVER SPRAY, TOILET CLEANER LIQUID, DISINFECTANT FLOOR CLEANER, DISH WASH GEL AND GLASS SURFACE CLEANER (COMBO PACK OF 6)","HARD STAINS SPRAY, LIME SCALE REMOVER SPRAY, TOILET CLEANER LIQUID, DISINFECTANT FLOOR CLEANER, DISH WASH GEL AND GLASS SURFACE CLEANER (COMBO PACK OF 6)",BOX,,6,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500009,HOLD STAINS & TOILET BOWL CLEANER PACK OF 2,Hold Stains & Toilet Bowl Cleaner Pack of 2,BOX,,2,MULTIPACK_SAME_ITEM,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP05D500001,HOME HYGIENE COMBO 1 WITH FREE HAND SANITIZER 60 ML(PACK OF 5),HOME HYGIENE COMBO 1 WITH FREE HAND SANITIZER 60 ML(PACK OF 5),BOX,60.0,5,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
