job,org,fg,cat,grp,outq,uom,lot,d,n_rm,val,file
134017,PSM - Thervoykandigai MFG,MTPRBULK00000146,Performance Chemicals,Textile & Paper Division,695.0,KG,134017 BJ PPS26070820,2026-07-17,3,106250.55,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
128263,PSM - Thervoykandigai MFG,MGCNAX000PUSY108,General Chemicals,GC2,641.0,KG,128263 BJ PPS26030359,2026-04-01,6,101485.64,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
157742,POI - Alathur MFG,MTDABULK00000067,Performance Chemicals,Textile & Paper Division,1587.5,KG,157742 POI26071475,2026-07-27,9,101169.88,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
155801,PSM - Thervoykandigai MFG,MTPRBULK00000244,Performance Chemicals,Textile & Paper Division,1000.0,KG,155801 PPS26070907,2026-07-24,9,99214.17,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
128838,PSM - Thervoykandigai MFG,MTPRBULK00000165,Performance Chemicals,Textile & Paper Division,1000.0,KG,128838 BJ PPS26040418,2026-04-15,4,95982.17,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
129050,PSM - Thervoykandigai MFG,MTPRBULK00000165,Performance Chemicals,Textile & Paper Division,1000.0,KG,129050 BJ PPS26040419,2026-04-18,4,95508.38,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
129275,POI - Alathur MFG,MLPCNHDI029-EL00,NPD,Lab Division,312.5,L,129275 POI260420020,2026-04-24,2,89801.48,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
158374,POI - Alathur MFG,MVMPCBULK0000228,NPD,Vooki Division,978.5,L,158250 POI26081542,2026-08-10,22,84435.8,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
158646,PSM - Thervoykandigai MFG,MGCNAX000PUSY096,General Chemicals,GC2,866.0,KG,158646 BJ PPS26080990,2026-08-14,8,83606.18,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
133977,POI - Alathur MFG,MLWEBULK00000108,Performance Chemicals,Leather Division,998.0,KG,133977 POI26071418,2026-07-16,2,83139.48999999999,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
155799,PSM - Thervoykandigai MFG,MTPRBULK00000039,Performance Chemicals,Textile & Paper Division,3000.0,KG,155799 BJ PPS26080981,2026-07-24,5,78407.67,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
154778,PSM - Thervoykandigai MFG,MTPPBULK00000015,Performance Chemicals,Textile & Paper Division,690.0,KG,154778 BJ PPS26070897,2026-07-23,11,78225.56,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
141750,PPM - Gummudipoondi MFG,MVMPCCB20D500210,NPD,Vooki Division,42.0,BOX,141750 PPS2605062510,2026-07-20,4,77004.31999999999,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
133900,PCM - Puzhal MFG,MTPCHDCB00050147,Performance Chemicals,Textile & Paper Division,200.0,KG,133900 PCC15072026005,2026-07-15,2,75724.84,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
129136,POI - Alathur MFG,MOPPBULK00000006,Performance Chemicals,Speciality Chemicals Division,400.0,KG,129136 POI26040699,2026-04-20,7,72900.04,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
